week_date,region,platform,segment,customer_type,transactions,sales
2020-03-30,USA,Retail,C1,New,34582,941878
2020-03-23,USA,Retail,C1,New,33480,992719
2020-03-23,USA,Retail,C1,Existing,54521,2490005
2020-03-23,USA,Shopify,C1,Existing,561,91783
2020-03-23,USA,Shopify,C1,New,110,13847
2019-09-02,USA,Shopify,C1,Existing,735,129611
2019-09-02,USA,Shopify,C1,New,134,18469
2019-09-02,USA,Retail,C1,New,33532,961642
2019-09-02,USA,Retail,C1,Existing,52843,2292354
2019-08-26,USA,Shopify,C1,Existing,733,127168
2019-08-26,USA,Shopify,C1,New,149,20828
2019-08-26,USA,Retail,C1,New,33579,935858
2019-08-26,USA,Retail,C1,Existing,53497,2290508
2019-08-19,USA,Shopify,C1,Existing,706,129399
2019-08-19,USA,Shopify,C1,New,155,20593
2019-08-19,USA,Retail,C1,New,33974,945017
2019-08-19,USA,Retail,C1,Existing,53555,2296465
2019-08-12,USA,Retail,C1,New,33741,928265
2019-08-12,USA,Shopify,C1,New,166,23598
2019-08-12,USA,Retail,C1,Existing,52883,2258626
2019-08-12,USA,Shopify,C1,Existing,728,131923
2019-08-05,USA,Retail,C1,New,32922,931394
2019-08-05,USA,Shopify,C1,Existing,766,137618
2019-08-05,USA,Retail,C1,Existing,52714,2281796
2019-08-05,USA,Shopify,C1,New,149,19501
2019-07-29,USA,Shopify,C1,New,137,17593
2019-07-29,USA,Shopify,C1,Existing,694,123208
2019-07-29,USA,Retail,C1,New,32413,916549
2019-07-29,USA,Retail,C1,Existing,51946,2263308
2019-07-22,USA,Shopify,C1,New,160,21452
2019-07-22,USA,Retail,C1,New,32683,919857
2019-07-22,USA,Shopify,C1,Existing,740,131891
2019-07-22,USA,Retail,C1,Existing,52567,2289166
2019-07-15,USA,Shopify,C1,New,137,18710
2019-07-15,USA,Retail,C1,New,32862,916284
2019-07-15,USA,Retail,C1,Existing,52646,2283775
2019-07-15,USA,Shopify,C1,Existing,713,125177
2019-07-08,USA,Retail,C1,Existing,52698,2281688
2019-07-08,USA,Shopify,C1,Existing,755,140091
2019-07-08,USA,Shopify,C1,New,153,20702
2019-07-08,USA,Retail,C1,New,33066,920105
2019-07-01,USA,Shopify,C1,New,142,18127
2019-07-01,USA,Retail,C1,Existing,51891,2206271
2019-07-01,USA,Shopify,C1,Existing,685,121208
2019-07-01,USA,Retail,C1,New,32238,887154
2019-06-24,USA,Shopify,C1,Existing,717,134166
2019-06-24,USA,Shopify,C1,New,171,22084
2019-06-24,USA,Retail,C1,Existing,52666,2280355
2019-06-24,USA,Retail,C1,New,32381,936783
2019-06-17,USA,Retail,C1,Existing,53463,2284775
2019-06-17,USA,Retail,C1,New,33042,911433
2019-06-17,USA,Shopify,C1,New,193,23657
2019-06-17,USA,Shopify,C1,Existing,757,135337
2019-06-10,USA,Shopify,C1,Existing,733,129616
2019-06-10,USA,Retail,C1,Existing,53284,2308933
2019-06-10,USA,Shopify,C1,New,173,22635
2019-06-10,USA,Retail,C1,New,32388,892871
2019-06-03,USA,Retail,C1,New,32155,885653
2019-06-03,USA,Shopify,C1,Existing,685,121116
2019-06-03,USA,Retail,C1,Existing,53709,2295913
2019-06-03,USA,Shopify,C1,New,165,20343
2019-05-27,USA,Shopify,C1,New,137,17665
2019-05-27,USA,Shopify,C1,Existing,607,109976
2019-05-27,USA,Retail,C1,New,30758,858756
2019-05-27,USA,Retail,C1,Existing,50771,2248577
2019-05-20,USA,Retail,C1,Existing,53725,2293459
2019-05-20,USA,Retail,C1,New,32448,877361
2019-05-20,USA,Shopify,C1,New,124,15443
2019-05-20,USA,Shopify,C1,Existing,652,119971
2019-05-13,USA,Retail,C1,New,32314,895721
2019-05-13,USA,Retail,C1,Existing,53474,2328791
2019-05-13,USA,Shopify,C1,New,145,20924
2019-05-13,USA,Shopify,C1,Existing,668,120111
2019-05-06,USA,Shopify,C1,Existing,619,110569
2019-05-06,USA,Retail,C1,Existing,54421,2356850
2019-05-06,USA,Retail,C1,New,33632,928434
2019-05-06,USA,Shopify,C1,New,134,18036
2019-04-29,USA,Retail,C1,Existing,53323,2356470
2019-04-29,USA,Shopify,C1,New,120,17128
2019-04-29,USA,Retail,C1,New,32696,910766
2019-04-29,USA,Shopify,C1,Existing,635,116957
2019-04-22,USA,Shopify,C1,New,133,16903
2019-04-22,USA,Shopify,C1,Existing,665,121071
2019-04-22,USA,Retail,C1,Existing,55303,2396706
2019-04-22,USA,Retail,C1,New,34544,970620
2019-04-15,USA,Shopify,C1,New,107,16791
2019-04-15,USA,Retail,C1,Existing,46954,2106369
2019-04-15,USA,Shopify,C1,Existing,545,100354
2019-04-15,USA,Retail,C1,New,29352,839836
2019-04-08,USA,Shopify,C1,New,110,17568
2019-04-08,USA,Retail,C1,Existing,49441,2339367
2019-04-08,USA,Retail,C1,New,31984,991976
2019-04-08,USA,Shopify,C1,Existing,476,87271
2019-04-01,USA,Shopify,C1,Existing,624,113841
2019-04-01,USA,Retail,C1,Existing,53189,2352994
2019-04-01,USA,Shopify,C1,New,126,19025
2019-04-01,USA,Retail,C1,New,34183,956841
2019-03-25,USA,Shopify,C1,Existing,651,113237
2019-03-25,USA,Shopify,C1,New,138,20540
2019-03-25,USA,Retail,C1,Existing,52970,2306224
2019-03-25,USA,Retail,C1,New,34468,969812
2018-09-03,USA,Shopify,C1,Existing,593,110020
2018-09-03,USA,Retail,C1,Existing,48396,2202824
2018-09-03,USA,Retail,C1,New,34228,998378
2018-09-03,USA,Shopify,C1,New,115,16634
2018-08-27,USA,Shopify,C1,New,129,17568
2018-08-27,USA,Retail,C1,New,34946,1012363
2018-08-27,USA,Retail,C1,Existing,48453,2201985
2018-08-27,USA,Shopify,C1,Existing,581,106980
2018-08-20,USA,Shopify,C1,New,112,16218
2018-08-20,USA,Shopify,C1,Existing,590,108464
2018-08-20,USA,Retail,C1,Existing,47361,2174894
2018-08-20,USA,Retail,C1,New,33812,991689
2018-08-13,USA,Retail,C1,Existing,46700,2124869
2018-08-13,USA,Shopify,C1,New,100,13663
2018-08-13,USA,Shopify,C1,Existing,513,97644
2018-08-13,USA,Retail,C1,New,33041,948550
2018-08-06,USA,Retail,C1,New,33102,970599
2018-08-06,USA,Shopify,C1,Existing,605,110246
2018-08-06,USA,Retail,C1,Existing,46731,2173355
2018-08-06,USA,Shopify,C1,New,128,17856
2018-07-30,USA,Retail,C1,Existing,46676,2137159
2018-07-30,USA,Shopify,C1,New,110,16884
2018-07-30,USA,Shopify,C1,Existing,578,109708
2018-07-30,USA,Retail,C1,New,33587,984811
2018-07-23,USA,Retail,C1,Existing,47684,2178986
2018-07-23,USA,Retail,C1,New,34047,995474
2018-07-23,USA,Shopify,C1,Existing,584,111165
2018-07-23,USA,Shopify,C1,New,125,21864
2018-07-16,USA,Shopify,C1,Existing,573,104402
2018-07-16,USA,Retail,C1,Existing,47108,2159527
2018-07-16,USA,Shopify,C1,New,108,17580
2018-07-16,USA,Retail,C1,New,33250,970514
2018-07-09,USA,Shopify,C1,New,128,18224
2018-07-09,USA,Shopify,C1,Existing,545,101988
2018-07-09,USA,Retail,C1,New,33680,999840
2018-07-09,USA,Retail,C1,Existing,47631,2187703
2018-07-02,USA,Shopify,C1,New,113,16067
2018-07-02,USA,Retail,C1,Existing,46621,2101076
2018-07-02,USA,Retail,C1,New,33147,972231
2018-07-02,USA,Shopify,C1,Existing,551,98577
2018-06-25,USA,Retail,C1,New,33483,980247
2018-06-25,USA,Shopify,C1,Existing,594,109946
2018-06-25,USA,Shopify,C1,New,109,16287
2018-06-25,USA,Retail,C1,Existing,47126,2144210
2018-06-18,USA,Retail,C1,New,33526,963560
2018-06-18,USA,Shopify,C1,New,131,18755
2018-06-18,USA,Shopify,C1,Existing,558,104743
2018-06-18,USA,Retail,C1,Existing,47646,2126689
2018-06-11,USA,Retail,C1,Existing,47724,2172474
2018-06-11,USA,Retail,C1,New,33496,974570
2018-06-11,USA,Shopify,C1,Existing,551,107708
2018-06-11,USA,Shopify,C1,New,122,18888
2018-06-04,USA,Shopify,C1,Existing,607,111185
2018-06-04,USA,Shopify,C1,New,123,19187
2018-06-04,USA,Retail,C1,Existing,47240,2101527
2018-06-04,USA,Retail,C1,New,33500,964865
2018-05-28,USA,Retail,C1,New,32091,972624
2018-05-28,USA,Retail,C1,Existing,46040,2176941
2018-05-28,USA,Shopify,C1,New,119,16177
2018-05-28,USA,Shopify,C1,Existing,579,113183
2018-05-21,USA,Retail,C1,Existing,47133,2149075
2018-05-21,USA,Shopify,C1,Existing,559,105674
2018-05-21,USA,Shopify,C1,New,112,14807
2018-05-21,USA,Retail,C1,New,33475,971075
2018-05-14,USA,Retail,C1,New,33907,1001594
2018-05-14,USA,Shopify,C1,New,114,15608
2018-05-14,USA,Shopify,C1,Existing,586,118254
2018-05-14,USA,Retail,C1,Existing,47440,2190935
2018-05-07,USA,Shopify,C1,New,137,19483
2018-05-07,USA,Retail,C1,New,33716,994219
2018-05-07,USA,Shopify,C1,Existing,576,108407
2018-05-07,USA,Retail,C1,Existing,47317,2175141
2018-04-30,USA,Retail,C1,Existing,48259,2234694
2018-04-30,USA,Shopify,C1,Existing,534,97485
2018-04-30,USA,Shopify,C1,New,119,16846
2018-04-30,USA,Retail,C1,New,35257,1030221
2018-04-23,USA,Shopify,C1,New,127,19492
2018-04-23,USA,Retail,C1,New,35341,1041224
2018-04-23,USA,Retail,C1,Existing,48044,2230140
2018-04-23,USA,Shopify,C1,Existing,560,100407
2018-04-16,USA,Shopify,C1,New,125,17498
2018-04-16,USA,Retail,C1,New,30878,930470
2018-04-16,USA,Shopify,C1,Existing,513,96193
2018-04-16,USA,Retail,C1,Existing,42054,2036874
2018-04-09,USA,Retail,C1,New,34131,996252
2018-04-09,USA,Retail,C1,Existing,46225,2153820
2018-04-09,USA,Shopify,C1,Existing,503,94720
2018-04-09,USA,Shopify,C1,New,130,17709
2018-04-02,USA,Shopify,C1,Existing,534,101964
2018-04-02,USA,Retail,C1,Existing,46903,2230839
2018-04-02,USA,Shopify,C1,New,132,18251
2018-04-02,USA,Retail,C1,New,34465,1017516
2018-03-26,USA,Shopify,C1,New,120,16207
2018-03-26,USA,Shopify,C1,Existing,552,105019
2018-03-26,USA,Retail,C1,Existing,47218,2219869
2018-03-26,USA,Retail,C1,New,34282,999080
2020-08-31,USA,Retail,C2,Existing,43493,2126153
2020-08-31,USA,Shopify,C2,New,228,45518
2020-08-31,USA,Retail,C2,New,26620,883573
2020-08-31,USA,Shopify,C2,Existing,1420,277104
2020-08-24,USA,Shopify,C2,New,238,36620
2020-08-24,USA,Retail,C2,New,27156,996924
2020-08-24,USA,Shopify,C2,Existing,1367,267523
2020-08-24,USA,Retail,C2,Existing,43328,2165779
2020-08-17,USA,Retail,C2,New,25953,880164
2020-08-17,USA,Retail,C2,Existing,42876,2078217
2020-08-17,USA,Shopify,C2,Existing,1375,268347
2020-08-17,USA,Shopify,C2,New,226,33141
2020-08-10,USA,Retail,C2,New,25709,869093
2020-08-10,USA,Retail,C2,Existing,42860,2065404
2020-08-10,USA,Shopify,C2,New,220,45523
2020-08-10,USA,Shopify,C2,Existing,1386,264650
2020-08-03,USA,Shopify,C2,New,199,33415
2020-08-03,USA,Shopify,C2,Existing,1319,250222
2020-08-03,USA,Retail,C2,Existing,42925,2112377
2020-08-03,USA,Retail,C2,New,25783,878770
2020-07-27,USA,Retail,C2,Existing,42647,2078352
2020-07-27,USA,Retail,C2,New,26001,902697
2020-07-27,USA,Shopify,C2,Existing,1377,259629
2020-07-27,USA,Shopify,C2,New,294,45882
2020-07-20,USA,Shopify,C2,Existing,1362,255741
2020-07-20,USA,Shopify,C2,New,264,45739
2020-07-20,USA,Retail,C2,New,25856,901385
2020-07-20,USA,Retail,C2,Existing,43247,2104602
2020-07-13,USA,Retail,C2,New,25914,869174
2020-07-13,USA,Shopify,C2,New,209,45008
2020-07-13,USA,Shopify,C2,Existing,1353,255907
2020-07-13,USA,Retail,C2,Existing,44366,2220667
2020-07-06,USA,Shopify,C2,Existing,1332,258887
2020-07-06,USA,Retail,C2,Existing,44601,2195016
2020-07-06,USA,Retail,C2,New,26006,895842
2020-07-06,USA,Shopify,C2,New,192,43697
2020-06-29,USA,Shopify,C2,New,217,32127
2020-06-29,USA,Retail,C2,Existing,42982,2069075
2020-06-29,USA,Retail,C2,New,25718,868246
2020-06-29,USA,Shopify,C2,Existing,1177,225451
2020-06-22,USA,Shopify,C2,Existing,1313,251028
2020-06-22,USA,Retail,C2,Existing,42233,2114099
2020-06-22,USA,Retail,C2,New,24706,889002
2020-06-22,USA,Shopify,C2,New,208,32150
2020-06-15,USA,Shopify,C2,Existing,1348,252715
2020-06-15,USA,Shopify,C2,New,222,36422
2020-06-15,USA,Retail,C2,Existing,42997,2056066
2020-06-15,USA,Retail,C2,New,25526,835631
2020-06-08,USA,Retail,C2,New,25604,878499
2020-06-08,USA,Retail,C2,Existing,43994,2196351
2020-06-08,USA,Shopify,C2,Existing,1284,235522
2020-06-08,USA,Shopify,C2,New,192,35566
2020-06-01,USA,Shopify,C2,New,258,37035
2020-06-01,USA,Retail,C2,New,25617,849179
2020-06-01,USA,Retail,C2,Existing,43617,2120253
2020-06-01,USA,Shopify,C2,Existing,1541,268157
2020-05-25,USA,Shopify,C2,Existing,1488,270166
2020-05-25,USA,Retail,C2,New,24070,835435
2020-05-25,USA,Retail,C2,Existing,40998,2081122
2020-05-25,USA,Shopify,C2,New,243,34341
2020-05-18,USA,Shopify,C2,Existing,1502,266727
2020-05-18,USA,Retail,C2,Existing,43956,2137229
2020-05-18,USA,Shopify,C2,New,255,34101
2020-05-18,USA,Retail,C2,New,25761,858130
2020-05-11,USA,Shopify,C2,New,249,32888
2020-05-11,USA,Shopify,C2,Existing,1500,267121
2020-05-11,USA,Retail,C2,Existing,44174,2157702
2020-05-11,USA,Retail,C2,New,25798,992683
2020-05-04,USA,Retail,C2,New,26354,891013
2020-05-04,USA,Retail,C2,Existing,44133,2135548
2020-05-04,USA,Shopify,C2,New,198,26963
2020-05-04,USA,Shopify,C2,Existing,1303,247167
2020-04-27,USA,Retail,C2,Existing,43894,2170377
2020-04-27,USA,Shopify,C2,Existing,1362,256756
2020-04-27,USA,Shopify,C2,New,231,32987
2020-04-27,USA,Retail,C2,New,25861,894096
2020-04-20,USA,Retail,C2,New,22752,895695
2020-04-20,USA,Retail,C2,Existing,39203,2009275
2020-04-20,USA,Shopify,C2,New,248,36371
2020-04-20,USA,Shopify,C2,Existing,1407,263063
2020-04-13,USA,Shopify,C2,New,220,31949
2020-04-13,USA,Shopify,C2,Existing,1151,221293
2020-04-13,USA,Retail,C2,Existing,44064,2178517
2020-04-13,USA,Retail,C2,New,26384,906633
2020-04-06,USA,Shopify,C2,New,213,31075
2020-04-06,USA,Shopify,C2,Existing,1235,241494
2020-04-06,USA,Retail,C2,New,24791,813108
2020-04-06,USA,Retail,C2,Existing,42580,2088832
2020-03-30,USA,Shopify,C2,New,212,32471
2020-03-30,USA,Shopify,C2,Existing,1351,257785
2020-03-30,USA,Retail,C2,New,25624,895898
2020-03-30,USA,Retail,C2,Existing,43283,2124166
2020-03-23,USA,Shopify,C2,New,174,27164
2020-03-23,USA,Retail,C2,New,25146,934913
2020-03-23,USA,Retail,C2,Existing,40728,2161048
2020-03-23,USA,Shopify,C2,Existing,1100,205136
2019-09-02,USA,Shopify,C2,New,220,32138
2019-09-02,USA,Shopify,C2,Existing,1282,253849
2019-09-02,USA,Retail,C2,New,24266,826796
2019-09-02,USA,Retail,C2,Existing,39469,1973371
2019-08-26,USA,Shopify,C2,New,210,32452
2019-08-26,USA,Retail,C2,Existing,39066,1929641
2019-08-26,USA,Shopify,C2,Existing,1311,262343
2019-08-26,USA,Retail,C2,New,24165,822335
2019-08-19,USA,Shopify,C2,New,203,31658
2019-08-19,USA,Retail,C2,Existing,39035,1967581
2019-08-19,USA,Retail,C2,New,24186,834045
2019-08-19,USA,Shopify,C2,Existing,1273,259908
2019-08-12,USA,Shopify,C2,New,196,31692
2019-08-12,USA,Shopify,C2,Existing,1224,243164
2019-08-12,USA,Retail,C2,New,24181,817943
2019-08-12,USA,Retail,C2,Existing,38909,1923248
2019-08-05,USA,Shopify,C2,New,227,33668
2019-08-05,USA,Shopify,C2,Existing,1325,267558
2019-08-05,USA,Retail,C2,New,23788,834376
2019-08-05,USA,Retail,C2,Existing,38818,1961519
2019-07-29,USA,Shopify,C2,New,227,35012
2019-07-29,USA,Shopify,C2,Existing,1251,259190
2019-07-29,USA,Retail,C2,Existing,38114,1909859
2019-07-29,USA,Retail,C2,New,23310,809765
2019-07-22,USA,Retail,C2,Existing,38606,1947365
2019-07-22,USA,Shopify,C2,New,220,32738
2019-07-22,USA,Shopify,C2,Existing,1235,245781
2019-07-22,USA,Retail,C2,New,23728,831248
2019-07-15,USA,Retail,C2,Existing,38782,1921382
2019-07-15,USA,Shopify,C2,Existing,1217,248110
2019-07-15,USA,Retail,C2,New,23975,827767
2019-07-15,USA,Shopify,C2,New,225,34700
2019-07-08,USA,Shopify,C2,Existing,1224,250538
2019-07-08,USA,Retail,C2,Existing,38583,1932743
2019-07-08,USA,Retail,C2,New,23722,823955
2019-07-08,USA,Shopify,C2,New,223,36931
2019-07-01,USA,Shopify,C2,Existing,1048,201414
2019-07-01,USA,Retail,C2,New,23378,804534
2019-07-01,USA,Shopify,C2,New,203,31557
2019-07-01,USA,Retail,C2,Existing,37904,1871099
2019-06-24,USA,Shopify,C2,New,263,40182
2019-06-24,USA,Retail,C2,New,23533,805444
2019-06-24,USA,Retail,C2,Existing,38395,1913960
2019-06-24,USA,Shopify,C2,Existing,1217,237753
2019-06-17,USA,Retail,C2,New,23888,811432
2019-06-17,USA,Shopify,C2,Existing,1149,220649
2019-06-17,USA,Retail,C2,Existing,39096,1920281
2019-06-17,USA,Shopify,C2,New,243,36115
2019-06-10,USA,Shopify,C2,New,246,33437
2019-06-10,USA,Retail,C2,New,23785,826850
2019-06-10,USA,Retail,C2,Existing,39468,1958181
2019-06-10,USA,Shopify,C2,Existing,1244,240933
2019-06-03,USA,Shopify,C2,New,217,30489
2019-06-03,USA,Shopify,C2,Existing,1108,213025
2019-06-03,USA,Retail,C2,Existing,39280,1945746
2019-06-03,USA,Retail,C2,New,23247,803972
2019-05-27,USA,Retail,C2,Existing,37628,1940308
2019-05-27,USA,Shopify,C2,Existing,1036,209191
2019-05-27,USA,Shopify,C2,New,201,30904
2019-05-27,USA,Retail,C2,New,22348,780923
2019-05-20,USA,Retail,C2,Existing,39058,1936014
2019-05-20,USA,Shopify,C2,Existing,1065,213308
2019-05-20,USA,Shopify,C2,New,180,25805
2019-05-20,USA,Retail,C2,New,23811,805348
2019-05-13,USA,Retail,C2,Existing,39150,1991203
2019-05-13,USA,Shopify,C2,Existing,1154,239448
2019-05-13,USA,Shopify,C2,New,194,28580
2019-05-13,USA,Retail,C2,New,23765,817857
2019-05-06,USA,Retail,C2,Existing,39177,1964716
2019-05-06,USA,Retail,C2,New,24255,842858
2019-05-06,USA,Shopify,C2,New,194,29240
2019-05-06,USA,Shopify,C2,Existing,1067,217698
2019-04-29,USA,Shopify,C2,New,159,23339
2019-04-29,USA,Retail,C2,New,23713,843734
2019-04-29,USA,Shopify,C2,Existing,1074,216210
2019-04-29,USA,Retail,C2,Existing,38119,1945048
2019-04-22,USA,Retail,C2,New,24450,865836
2019-04-22,USA,Shopify,C2,Existing,1107,227043
2019-04-22,USA,Shopify,C2,New,199,29726
2019-04-22,USA,Retail,C2,Existing,39125,1981599
2019-04-15,USA,Retail,C2,Existing,33662,1787252
2019-04-15,USA,Shopify,C2,New,162,27329
2019-04-15,USA,Retail,C2,New,21012,767802
2019-04-15,USA,Shopify,C2,Existing,913,186826
2019-04-08,USA,Shopify,C2,New,151,27312
2019-04-08,USA,Shopify,C2,Existing,847,167274
2019-04-08,USA,Retail,C2,New,23163,924562
2019-04-08,USA,Retail,C2,Existing,35472,1970240
2019-04-01,USA,Shopify,C2,New,160,27259
2019-04-01,USA,Retail,C2,New,24334,856517
2019-04-01,USA,Shopify,C2,Existing,1080,223860
2019-04-01,USA,Retail,C2,Existing,38595,1995839
2019-03-25,USA,Shopify,C2,New,178,29103
2019-03-25,USA,Shopify,C2,Existing,1080,224818
2019-03-25,USA,Retail,C2,New,24544,853612
2019-03-25,USA,Retail,C2,Existing,38577,1950158
2018-09-03,USA,Retail,C2,New,23197,841204
2018-09-03,USA,Retail,C2,Existing,32994,1748009
2018-09-03,USA,Shopify,C2,New,148,25314
2018-09-03,USA,Shopify,C2,Existing,942,197148
2018-08-27,USA,Retail,C2,New,23514,842739
2018-08-27,USA,Shopify,C2,New,146,24377
2018-08-27,USA,Shopify,C2,Existing,891,193834
2018-08-27,USA,Retail,C2,Existing,33005,1714939
2018-08-20,USA,Shopify,C2,New,130,21005
2018-08-20,USA,Retail,C2,New,22975,835154
2018-08-20,USA,Shopify,C2,Existing,915,197103
2018-08-20,USA,Retail,C2,Existing,32328,1697948
2018-08-13,USA,Shopify,C2,New,126,20599
2018-08-13,USA,Retail,C2,New,22434,811901
2018-08-13,USA,Shopify,C2,Existing,824,169780
2018-08-13,USA,Retail,C2,Existing,31972,1675237
2018-08-06,USA,Shopify,C2,Existing,937,205589
2018-08-06,USA,Retail,C2,Existing,31995,1697600
2018-08-06,USA,Shopify,C2,New,145,25028
2018-08-06,USA,Retail,C2,New,21932,792926
2018-07-30,USA,Shopify,C2,Existing,893,186727
2018-07-30,USA,Retail,C2,Existing,31864,1656889
2018-07-30,USA,Retail,C2,New,22458,807710
2018-07-30,USA,Shopify,C2,New,157,26861
2018-07-23,USA,Retail,C2,New,22686,813508
2018-07-23,USA,Shopify,C2,New,171,33262
2018-07-23,USA,Retail,C2,Existing,32091,1680920
2018-07-23,USA,Shopify,C2,Existing,892,189110
2018-07-16,USA,Shopify,C2,New,164,30687
2018-07-16,USA,Retail,C2,New,22418,813676
2018-07-16,USA,Shopify,C2,Existing,916,197168
2018-07-16,USA,Retail,C2,Existing,32368,1692873
2018-07-09,USA,Retail,C2,Existing,32290,1710131
2018-07-09,USA,Shopify,C2,New,142,27732
2018-07-09,USA,Shopify,C2,Existing,875,183106
2018-07-09,USA,Retail,C2,New,22555,822964
2018-07-02,USA,Retail,C2,New,22341,823945
2018-07-02,USA,Shopify,C2,Existing,820,172531
2018-07-02,USA,Shopify,C2,New,140,24498
2018-07-02,USA,Retail,C2,Existing,31869,1642965
2018-06-25,USA,Shopify,C2,New,154,26824
2018-06-25,USA,Shopify,C2,Existing,852,180084
2018-06-25,USA,Retail,C2,New,22709,814784
2018-06-25,USA,Retail,C2,Existing,32509,1678010
2018-06-18,USA,Retail,C2,New,22498,803668
2018-06-18,USA,Retail,C2,Existing,32153,1658568
2018-06-18,USA,Shopify,C2,Existing,901,189337
2018-06-18,USA,Shopify,C2,New,177,29102
2018-06-11,USA,Shopify,C2,New,152,25158
