visit_id,cookie_id,page_id,event_type,sequence_number,event_time
e0ce49,167909,1,1,1,2020-01-25 22:43:21.482933 UTC
e0ce49,167909,2,1,2,2020-01-25 22:44:13.045517 UTC
e0ce49,167909,5,1,3,2020-01-25 22:44:36.389008 UTC
e0ce49,167909,6,1,5,2020-01-25 22:46:07.060046 UTC
e0ce49,167909,8,1,6,2020-01-25 22:46:57.057053 UTC
e0ce49,167909,9,1,7,2020-01-25 22:47:06.641395 UTC
e0ce49,167909,10,1,9,2020-01-25 22:47:49.388223 UTC
e0ce49,167909,11,1,10,2020-01-25 22:48:14.396058 UTC
e0ce49,167909,12,1,12,2020-01-25 22:49:13.988901 UTC
8479c1,8f14e4,1,1,1,2020-02-09 17:27:58.867660 UTC
8479c1,8f14e4,2,1,2,2020-02-09 17:28:19.121935 UTC
8479c1,8f14e4,9,1,3,2020-02-09 17:29:04.117961 UTC
8479c1,8f14e4,11,1,4,2020-02-09 17:29:53.831275 UTC
8479c1,8f14e4,12,1,6,2020-02-09 17:31:23.897656 UTC
a6c424,c9f0f8,1,1,1,2020-02-12 11:23:54.788493 UTC
a6c424,c9f0f8,2,1,2,2020-02-12 11:24:31.817736 UTC
a6c424,c9f0f8,5,1,3,2020-02-12 11:25:02.767972 UTC
a6c424,c9f0f8,7,1,5,2020-02-12 11:26:35.253811 UTC
a6c424,c9f0f8,9,1,6,2020-02-12 11:27:15.405177 UTC
a6c424,c9f0f8,10,1,7,2020-02-12 11:28:06.345300 UTC
a6c424,c9f0f8,11,1,8,2020-02-12 11:28:25.279665 UTC
5ef346,45c48c,1,1,1,2020-02-07 17:32:44.707846 UTC
5ef346,45c48c,2,1,2,2020-02-07 17:33:12.180627 UTC
5ef346,45c48c,3,1,3,2020-02-07 17:33:43.016425 UTC
5ef346,45c48c,4,1,4,2020-02-07 17:33:44.699660 UTC
5ef346,45c48c,5,1,5,2020-02-07 17:34:02.558855 UTC
5ef346,45c48c,6,1,6,2020-02-07 17:34:23.327758 UTC
5ef346,45c48c,11,1,7,2020-02-07 17:34:35.345732 UTC
d39d35,d3d944,1,1,1,2020-01-23 21:47:03.576066 UTC
d39d35,d3d944,2,1,2,2020-01-23 21:47:26.317210 UTC
d39d35,d3d944,3,1,3,2020-01-23 21:47:33.352359 UTC
d39d35,d3d944,4,1,4,2020-01-23 21:47:48.935208 UTC
d39d35,d3d944,6,1,6,2020-01-23 21:48:56.594073 UTC
d39d35,d3d944,9,1,8,2020-01-23 21:49:40.667053 UTC
d39d35,d3d944,12,1,10,2020-01-23 21:51:14.109932 UTC
9c2633,6512bd,1,1,1,2020-01-17 04:59:43.046418 UTC
9c2633,6512bd,2,1,2,2020-01-17 05:00:12.080309 UTC
9c2633,6512bd,4,1,3,2020-01-17 05:00:57.913348 UTC
9c2633,6512bd,7,1,5,2020-01-17 05:01:23.203653 UTC
9c2633,6512bd,8,1,6,2020-01-17 05:02:19.898546 UTC
9c2633,6512bd,9,1,7,2020-01-17 05:02:46.527259 UTC
9c2633,6512bd,10,1,9,2020-01-17 05:03:14.965220 UTC
9c2633,6512bd,11,1,10,2020-01-17 05:03:40.920901 UTC
d69e73,c20ad4,1,1,1,2020-02-06 09:09:05.908878 UTC
d69e73,c20ad4,4,1,2,2020-02-06 09:10:00.887631 UTC
d69e73,c20ad4,5,1,3,2020-02-06 09:11:00.353528 UTC
d69e73,c20ad4,9,1,4,2020-02-06 09:11:27.119921 UTC
d69e73,c20ad4,12,1,6,2020-02-06 09:12:15.152894 UTC
c70085,c51ce4,1,1,1,2020-02-12 08:26:14.018589 UTC
c70085,c51ce4,2,1,2,2020-02-12 08:26:22.661260 UTC
c70085,c51ce4,4,1,3,2020-02-12 08:27:06.681930 UTC
c70085,c51ce4,5,1,4,2020-02-12 08:27:30.701165 UTC
c70085,c51ce4,10,1,5,2020-02-12 08:28:04.595837 UTC
c70085,c51ce4,12,1,7,2020-02-12 08:28:53.270139 UTC
6a20a3,aab323,1,1,1,2020-01-12 02:49:32.092947 UTC
6a20a3,aab323,2,1,2,2020-01-12 02:50:10.864330 UTC
6a20a3,aab323,3,1,3,2020-01-12 02:51:01.655328 UTC
6a20a3,aab323,5,1,5,2020-01-12 02:51:14.213414 UTC
6a20a3,aab323,6,1,6,2020-01-12 02:52:02.560126 UTC
6a20a3,aab323,10,1,7,2020-01-12 02:52:17.094098 UTC
6a20a3,aab323,11,1,8,2020-01-12 02:52:57.031077 UTC
6a20a3,aab323,12,1,9,2020-01-12 02:52:59.643379 UTC
4b5d1b,9bf31c,1,1,1,2020-01-28 04:56:41.294080 UTC
4b5d1b,9bf31c,2,1,2,2020-01-28 04:57:15.797744 UTC
4b5d1b,9bf31c,3,1,3,2020-01-28 04:57:24.349407 UTC
4b5d1b,9bf31c,9,1,5,2020-01-28 04:58:05.239156 UTC
4b5d1b,9bf31c,11,1,7,2020-01-28 04:59:11.343632 UTC
4b5d1b,9bf31c,12,1,8,2020-01-28 05:00:02.544720 UTC
69440b,c74d97,1,1,1,2020-01-06 21:45:50.948835 UTC
69440b,c74d97,2,1,2,2020-01-06 21:46:36.305090 UTC
69440b,c74d97,11,1,3,2020-01-06 21:46:42.014651 UTC
69440b,c74d97,12,1,5,2020-01-06 21:47:52.127691 UTC
e70fd5,70efdf,1,1,1,2020-02-17 10:05:50.894637 UTC
e70fd5,70efdf,2,1,2,2020-02-17 10:06:36.737304 UTC
e70fd5,70efdf,4,1,3,2020-02-17 10:06:53.764928 UTC
e70fd5,70efdf,6,1,5,2020-02-17 10:08:06.935513 UTC
e70fd5,70efdf,9,1,7,2020-02-17 10:09:50.987371 UTC
e70fd5,70efdf,11,1,8,2020-02-17 10:10:26.393753 UTC
e70fd5,70efdf,12,1,9,2020-02-17 10:11:16.562551 UTC
48810d,6f4922,1,1,1,2020-02-29 15:26:40.947095 UTC
48810d,6f4922,2,1,2,2020-02-29 15:27:14.792315 UTC
48810d,6f4922,8,1,3,2020-02-29 15:27:52.875685 UTC
48810d,6f4922,9,1,4,2020-02-29 15:28:27.524633 UTC
fdf383,1f0e3d,1,1,1,2020-02-11 13:52:24.211825 UTC
fdf383,1f0e3d,2,1,2,2020-02-11 13:53:23.842767 UTC
fdf383,1f0e3d,3,1,3,2020-02-11 13:53:23.899118 UTC
fdf383,1f0e3d,4,1,5,2020-02-11 13:54:48.452227 UTC
fdf383,1f0e3d,5,1,6,2020-02-11 13:55:00.703580 UTC
fdf383,1f0e3d,6,1,7,2020-02-11 13:55:39.379189 UTC
fdf383,1f0e3d,12,1,8,2020-02-11 13:56:06.155978 UTC
378a75,98f137,1,1,1,2020-02-12 23:33:50.816642 UTC
378a75,98f137,2,1,2,2020-02-12 23:34:08.899141 UTC
378a75,98f137,8,1,3,2020-02-12 23:34:55.184939 UTC
378a75,98f137,9,1,4,2020-02-12 23:35:03.237855 UTC
a67606,3c59dc,1,1,1,2020-02-14 21:10:08.838252 UTC
a67606,3c59dc,4,1,2,2020-02-14 21:10:26.159489 UTC
a67606,3c59dc,8,1,3,2020-02-14 21:11:20.464873 UTC
a67606,3c59dc,9,1,4,2020-02-14 21:12:17.518529 UTC
a67606,3c59dc,12,1,6,2020-02-14 21:13:28.575940 UTC
71740f,b6d767,1,1,1,2020-02-08 21:30:48.985777 UTC
71740f,b6d767,2,1,2,2020-02-08 21:31:07.102895 UTC
71740f,b6d767,4,1,3,2020-02-08 21:32:06.252986 UTC
71740f,b6d767,5,1,5,2020-02-08 21:33:02.141059 UTC
71740f,b6d767,6,1,6,2020-02-08 21:33:53.147475 UTC
71740f,b6d767,7,1,7,2020-02-08 21:34:02.611086 UTC
71740f,b6d767,8,1,9,2020-02-08 21:34:24.003705 UTC
71740f,b6d767,9,1,11,2020-02-08 21:35:13.696946 UTC
71740f,b6d767,10,1,13,2020-02-08 21:35:55.572630 UTC
71740f,b6d767,11,1,15,2020-02-08 21:36:29.066529 UTC
71740f,b6d767,12,1,17,2020-02-08 21:37:38.073044 UTC
d7fa36,37693c,1,1,1,2020-01-16 22:30:01.781000 UTC
d7fa36,37693c,2,1,2,2020-01-16 22:30:52.624379 UTC
d7fa36,37693c,4,1,3,2020-01-16 22:31:12.357021 UTC
d7fa36,37693c,5,1,4,2020-01-16 22:31:24.092845 UTC
d7fa36,37693c,9,1,5,2020-01-16 22:31:33.690926 UTC
2a5092,1ff1de,1,1,1,2020-01-23 20:05:46.748733 UTC
2a5092,1ff1de,3,1,2,2020-01-23 20:06:45.365631 UTC
2a5092,1ff1de,4,1,3,2020-01-23 20:07:09.764502 UTC
2a5092,1ff1de,9,1,5,2020-01-23 20:07:50.625356 UTC
2a5092,1ff1de,10,1,7,2020-01-23 20:08:57.937689 UTC
2a5092,1ff1de,11,1,9,2020-01-23 20:10:40.948346 UTC
2a5092,1ff1de,12,1,10,2020-01-23 20:11:39.011841 UTC
ce1b65,8e296a,1,1,1,2020-01-08 18:34:24.082895 UTC
ce1b65,8e296a,2,1,2,2020-01-08 18:35:23.241017 UTC
ce1b65,8e296a,4,1,3,2020-01-08 18:36:13.358878 UTC
ce1b65,8e296a,5,1,5,2020-01-08 18:36:51.611039 UTC
ce1b65,8e296a,7,1,6,2020-01-08 18:36:53.320521 UTC
ce1b65,8e296a,8,1,8,2020-01-08 18:38:11.678928 UTC
ce1b65,8e296a,9,1,9,2020-01-08 18:38:13.007925 UTC
ce1b65,8e296a,11,1,11,2020-01-08 18:39:53.402040 UTC
ce1b65,8e296a,12,1,12,2020-01-08 18:40:09.495547 UTC
8bfa80,4e732c,1,1,1,2020-01-26 20:57:16.531533 UTC
8bfa80,4e732c,2,1,2,2020-01-26 20:57:30.729160 UTC
8bfa80,4e732c,3,1,3,2020-01-26 20:57:32.873450 UTC
8bfa80,4e732c,6,1,5,2020-01-26 20:58:13.386788 UTC
8bfa80,4e732c,8,1,6,2020-01-26 20:58:26.638894 UTC
8bfa80,4e732c,10,1,8,2020-01-26 20:59:05.738440 UTC
37c63a,02e74f,1,1,1,2020-01-31 11:10:22.629494 UTC
37c63a,02e74f,3,1,2,2020-01-31 11:11:04.391341 UTC
37c63a,02e74f,6,1,4,2020-01-31 11:12:44.738062 UTC
37c63a,02e74f,9,1,5,2020-01-31 11:12:53.863979 UTC
37c63a,02e74f,10,1,7,2020-01-31 11:13:04.368514 UTC
37c63a,02e74f,11,1,8,2020-01-31 11:13:10.070933 UTC
37c63a,02e74f,12,1,10,2020-01-31 11:13:17.208624 UTC
32a3fc,33e75f,1,1,1,2020-02-29 02:02:48.883437 UTC
32a3fc,33e75f,2,1,2,2020-02-29 02:03:20.222426 UTC
32a3fc,33e75f,3,1,3,2020-02-29 02:04:00.638628 UTC
32a3fc,33e75f,4,1,4,2020-02-29 02:04:49.671549 UTC
32a3fc,33e75f,5,1,5,2020-02-29 02:05:09.212041 UTC
32a3fc,33e75f,7,1,7,2020-02-29 02:06:03.266493 UTC
32a3fc,33e75f,8,1,9,2020-02-29 02:06:23.502862 UTC
32a3fc,33e75f,10,1,10,2020-02-29 02:06:49.908697 UTC
32a3fc,33e75f,12,1,11,2020-02-29 02:07:32.968080 UTC
0813d2,6ea9ab,1,1,1,2020-01-10 12:01:39.723646 UTC
0813d2,6ea9ab,2,1,2,2020-01-10 12:02:34.694713 UTC
0813d2,6ea9ab,3,1,3,2020-01-10 12:02:59.955310 UTC
0813d2,6ea9ab,4,1,5,2020-01-10 12:03:31.543153 UTC
0813d2,6ea9ab,6,1,7,2020-01-10 12:05:06.076636 UTC
0813d2,6ea9ab,8,1,9,2020-01-10 12:05:50.762377 UTC
0813d2,6ea9ab,9,1,10,2020-01-10 12:06:13.247649 UTC
0813d2,6ea9ab,12,1,11,2020-01-10 12:06:36.827474 UTC
cd512e,34173c,1,1,1,2020-02-02 01:54:14.713832 UTC
cd512e,34173c,3,1,2,2020-02-02 01:54:33.167690 UTC
cd512e,34173c,6,1,4,2020-02-02 01:56:16.139298 UTC
cd512e,34173c,7,1,5,2020-02-02 01:56:51.881240 UTC
cd512e,34173c,12,1,7,2020-02-02 01:57:42.354067 UTC
d193fc,c16a53,1,1,1,2020-02-13 18:54:53.544665 UTC
d193fc,c16a53,4,1,2,2020-02-13 18:55:15.518477 UTC
d193fc,c16a53,5,1,3,2020-02-13 18:55:24.517397 UTC
d193fc,c16a53,6,1,5,2020-02-13 18:56:12.435740 UTC
d193fc,c16a53,8,1,6,2020-02-13 18:56:42.247455 UTC
d193fc,c16a53,10,1,8,2020-02-13 18:57:45.773043 UTC
d193fc,c16a53,11,1,9,2020-02-13 18:58:25.213467 UTC
4c98cd,6364d3,1,1,1,2020-02-17 22:10:30.714261 UTC
4c98cd,6364d3,4,1,2,2020-02-17 22:10:47.796673 UTC
4c98cd,6364d3,7,1,4,2020-02-17 22:11:49.016464 UTC
4c98cd,6364d3,11,1,5,2020-02-17 22:12:01.245325 UTC
4c98cd,6364d3,12,1,7,2020-02-17 22:13:00.529696 UTC
8d7256,182be0,1,1,1,2020-02-03 13:00:48.917482 UTC
8d7256,182be0,2,1,2,2020-02-03 13:01:17.332978 UTC
8d7256,182be0,3,1,3,2020-02-03 13:02:11.967660 UTC
8d7256,182be0,8,1,5,2020-02-03 13:02:38.836246 UTC
8d7256,182be0,11,1,7,2020-02-03 13:03:51.809355 UTC
97cca6,e36985,1,1,1,2020-02-24 07:27:19.727667 UTC
97cca6,e36985,2,1,2,2020-02-24 07:27:51.987858 UTC
97cca6,e36985,4,1,3,2020-02-24 07:28:23.283688 UTC
97cca6,e36985,5,1,4,2020-02-24 07:28:50.347108 UTC
97cca6,e36985,7,1,6,2020-02-24 07:30:04.298648 UTC
97cca6,e36985,8,1,7,2020-02-24 07:30:51.881743 UTC
97cca6,e36985,9,1,9,2020-02-24 07:32:13.249051 UTC
97cca6,e36985,10,1,11,2020-02-24 07:32:36.869984 UTC
97cca6,e36985,12,1,13,2020-02-24 07:33:11.277259 UTC
6baa37,1c383c,1,1,1,2020-01-22 01:09:59.482433 UTC
6baa37,1c383c,2,1,2,2020-01-22 01:10:20.782500 UTC
6baa37,1c383c,3,1,3,2020-01-22 01:10:31.643956 UTC
6baa37,1c383c,4,1,5,2020-01-22 01:12:00.048042 UTC
6baa37,1c383c,9,1,6,2020-01-22 01:12:26.860699 UTC
6baa37,1c383c,10,1,8,2020-01-22 01:12:44.593997 UTC
6baa37,1c383c,12,1,10,2020-01-22 01:14:25.423766 UTC
64fca2,19ca14,1,1,1,2020-02-14 18:08:54.505384 UTC
64fca2,19ca14,2,1,2,2020-02-14 18:08:55.660304 UTC
64fca2,19ca14,7,1,3,2020-02-14 18:09:41.058108 UTC
64fca2,19ca14,8,1,4,2020-02-14 18:10:28.237473 UTC
64fca2,19ca14,10,1,6,2020-02-14 18:11:50.196165 UTC
64fca2,19ca14,12,1,7,2020-02-14 18:12:38.026417 UTC
d214e6,a5bfc9,1,1,1,2020-02-03 01:15:00.371654 UTC
d214e6,a5bfc9,2,1,2,2020-02-03 01:15:30.294118 UTC
d214e6,a5bfc9,4,1,3,2020-02-03 01:15:50.865437 UTC
d214e6,a5bfc9,6,1,5,2020-02-03 01:16:43.226923 UTC
d214e6,a5bfc9,11,1,7,2020-02-03 01:18:10.316080 UTC
d214e6,a5bfc9,12,1,8,2020-02-03 01:18:30.612645 UTC
97cf44,a5771b,1,1,1,2020-01-28 22:16:01.381014 UTC
97cf44,a5771b,2,1,2,2020-01-28 22:16:38.591811 UTC
97cf44,a5771b,3,1,3,2020-01-28 22:17:09.747283 UTC
97cf44,a5771b,5,1,5,2020-01-28 22:18:00.165569 UTC
97cf44,a5771b,7,1,6,2020-01-28 22:18:10.235114 UTC
97cf44,a5771b,8,1,8,2020-01-28 22:19:32.217359 UTC
97cf44,a5771b,9,1,10,2020-01-28 22:19:34.024478 UTC
97cf44,a5771b,11,1,12,2020-01-28 22:21:29.876528 UTC
97cf44,a5771b,12,1,13,2020-01-28 22:21:41.683881 UTC
f0e648,d67d8a,1,1,1,2020-01-13 00:46:21.320321 UTC
f0e648,d67d8a,2,1,2,2020-01-13 00:46:45.489807 UTC
f0e648,d67d8a,8,1,3,2020-01-13 00:46:59.974482 UTC
f0e648,d67d8a,11,1,5,2020-01-13 00:48:48.201073 UTC
f0e648,d67d8a,12,1,6,2020-01-13 00:49:42.195434 UTC
8bfb23,d64592,1,1,1,2020-02-07 22:03:56.504665 UTC
8bfb23,d64592,2,1,2,2020-02-07 22:04:21.304721 UTC
8bfb23,d64592,3,1,3,2020-02-07 22:04:30.286575 UTC
8bfb23,d64592,4,1,5,2020-02-07 22:06:21.869686 UTC
8bfb23,d64592,6,1,6,2020-02-07 22:07:00.056361 UTC
8bfb23,d64592,7,1,8,2020-02-07 22:07:59.624811 UTC
8bfb23,d64592,8,1,9,2020-02-07 22:08:23.856913 UTC
8bfb23,d64592,9,1,11,2020-02-07 22:09:11.344522 UTC
8bfb23,d64592,10,1,13,2020-02-07 22:10:09.005111 UTC
8bfb23,d64592,12,1,15,2020-02-07 22:10:36.113556 UTC
aa6d31,3416a7,1,1,1,2020-01-09 21:59:51.433090 UTC
aa6d31,3416a7,2,1,2,2020-01-09 22:00:00.128498 UTC
aa6d31,3416a7,3,1,3,2020-01-09 22:00:38.562311 UTC
aa6d31,3416a7,4,1,4,2020-01-09 22:00:46.052290 UTC
aa6d31,3416a7,6,1,6,2020-01-09 22:01:29.277619 UTC
aa6d31,3416a7,9,1,8,2020-01-09 22:01:55.597540 UTC
aa6d31,3416a7,10,1,9,2020-01-09 22:02:30.938160 UTC
d54641,a1d0c6,1,1,1,2020-02-29 01:09:31.996659 UTC
d54641,a1d0c6,3,1,2,2020-02-29 01:09:50.786949 UTC
d54641,a1d0c6,5,1,3,2020-02-29 01:10:49.378930 UTC
d54641,a1d0c6,6,1,5,2020-02-29 01:12:21.263067 UTC
d54641,a1d0c6,8,1,6,2020-02-29 01:13:14.009298 UTC
d54641,a1d0c6,11,1,7,2020-02-29 01:13:28.350387 UTC
d54641,a1d0c6,12,1,8,2020-02-29 01:13:35.985454 UTC
f60bb1,17e621,1,1,1,2020-02-22 07:52:30.386862 UTC
f60bb1,17e621,2,1,2,2020-02-22 07:52:54.203640 UTC
f60bb1,17e621,8,1,3,2020-02-22 07:53:09.708422 UTC
f60bb1,17e621,10,1,5,2020-02-22 07:54:31.717058 UTC
f60bb1,17e621,11,1,6,2020-02-22 07:55:11.898834 UTC
f60bb1,17e621,12,1,7,2020-02-22 07:55:54.799916 UTC
cfbc1c,f71771,1,1,1,2020-01-08 04:52:56.568251 UTC
cfbc1c,f71771,2,1,2,2020-01-08 04:53:20.975670 UTC
cfbc1c,f71771,6,1,3,2020-01-08 04:54:05.681278 UTC
cfbc1c,f71771,9,1,4,2020-01-08 04:54:06.508685 UTC
cfbc1c,f71771,11,1,5,2020-01-08 04:54:09.421552 UTC
cfbc1c,f71771,12,1,7,2020-01-08 04:55:34.032913 UTC
cf849f,6c8349,1,1,1,2020-02-09 11:31:50.231946 UTC
cf849f,6c8349,2,1,2,2020-02-09 11:32:44.777391 UTC
cf849f,6c8349,3,1,3,2020-02-09 11:33:43.197797 UTC
cf849f,6c8349,4,1,5,2020-02-09 11:34:56.112973 UTC
cf849f,6c8349,6,1,7,2020-02-09 11:35:22.245468 UTC
cf849f,6c8349,9,1,8,2020-02-09 11:36:20.640626 UTC
cf849f,6c8349,11,1,9,2020-02-09 11:36:27.839120 UTC
d400f3,d9d4f4,1,1,1,2020-01-25 09:43:32.258825 UTC
d400f3,d9d4f4,2,1,2,2020-01-25 09:44:06.443476 UTC
d400f3,d9d4f4,5,1,3,2020-01-25 09:44:30.140154 UTC
d400f3,d9d4f4,6,1,5,2020-01-25 09:45:31.090059 UTC
d400f3,d9d4f4,10,1,7,2020-01-25 09:46:29.106316 UTC
d400f3,d9d4f4,12,1,8,2020-01-25 09:46:38.160617 UTC
a59fa0,67c6a1,1,1,1,2020-02-20 21:55:32.264200 UTC
a59fa0,67c6a1,2,1,2,2020-02-20 21:55:41.504557 UTC
a59fa0,67c6a1,3,1,3,2020-02-20 21:56:27.332169 UTC
a59fa0,67c6a1,9,1,5,2020-02-20 21:57:34.902999 UTC
a59fa0,67c6a1,12,1,6,2020-02-20 21:57:40.926722 UTC
3e7fc5,642e92,1,1,1,2020-02-21 09:14:25.675661 UTC
3e7fc5,642e92,2,1,2,2020-02-21 09:14:48.948903 UTC
3e7fc5,642e92,3,1,3,2020-02-21 09:15:15.750003 UTC
3e7fc5,642e92,4,1,5,2020-02-21 09:16:32.985616 UTC
3e7fc5,642e92,6,1,6,2020-02-21 09:17:15.492116 UTC
3e7fc5,642e92,7,1,7,2020-02-21 09:17:47.033264 UTC
3e7fc5,642e92,8,1,8,2020-02-21 09:17:54.504507 UTC
3e7fc5,642e92,9,1,10,2020-02-21 09:18:52.355306 UTC
7da3f2,f457c5,1,1,1,2020-01-07 15:38:30.839708 UTC
7da3f2,f457c5,2,1,2,2020-01-07 15:39:06.069838 UTC
7da3f2,f457c5,3,1,3,2020-01-07 15:39:53.079454 UTC
7da3f2,f457c5,4,1,5,2020-01-07 15:40:22.651006 UTC
7da3f2,f457c5,7,1,7,2020-01-07 15:41:21.894963 UTC
7da3f2,f457c5,10,1,8,2020-01-07 15:41:33.127936 UTC
7da3f2,f457c5,12,1,10,2020-01-07 15:42:26.148579 UTC
d337c9,c0c7c7,1,1,1,2020-02-13 12:26:35.143364 UTC
d337c9,c0c7c7,2,1,2,2020-02-13 12:26:55.285368 UTC
d337c9,c0c7c7,6,1,3,2020-02-13 12:27:50.903149 UTC
d337c9,c0c7c7,7,1,4,2020-02-13 12:28:45.976445 UTC
d337c9,c0c7c7,9,1,5,2020-02-13 12:29:39.537369 UTC
d337c9,c0c7c7,10,1,6,2020-02-13 12:30:37.717832 UTC
d337c9,c0c7c7,11,1,8,2020-02-13 12:31:10.048103 UTC
d337c9,c0c7c7,12,1,9,2020-02-13 12:31:31.741437 UTC
fcc0cb,283802,1,1,1,2020-01-04 01:36:34.379692 UTC
fcc0cb,283802,2,1,2,2020-01-04 01:37:20.623822 UTC
fcc0cb,283802,4,1,3,2020-01-04 01:37:52.120279 UTC
fcc0cb,283802,5,1,4,2020-01-04 01:38:33.695121 UTC
fcc0cb,283802,8,1,6,2020-01-04 01:39:28.498464 UTC
fcc0cb,283802,9,1,8,2020-01-04 01:40:24.418447 UTC
fcc0cb,283802,10,1,9,2020-01-04 01:40:53.576944 UTC
fcc0cb,283802,11,1,11,2020-01-04 01:42:04.759482 UTC
fcc0cb,283802,12,1,13,2020-01-04 01:42:41.767431 UTC
85fdaf,9a1158,1,1,1,2020-02-19 23:49:26.139854 UTC
85fdaf,9a1158,4,1,2,2020-02-19 23:49:53.726401 UTC
85fdaf,9a1158,5,1,3,2020-02-19 23:50:49.961437 UTC
85fdaf,9a1158,6,1,5,2020-02-19 23:52:01.699583 UTC
85fdaf,9a1158,10,1,6,2020-02-19 23:52:27.942677 UTC
9f4c50,d82c8d,1,1,1,2020-02-06 19:18:46.151777 UTC
9f4c50,d82c8d,2,1,2,2020-02-06 19:19:30.436381 UTC
9f4c50,d82c8d,3,1,3,2020-02-06 19:20:04.015473 UTC
9f4c50,d82c8d,4,1,4,2020-02-06 19:20:43.211042 UTC
9f4c50,d82c8d,5,1,6,2020-02-06 19:21:26.471143 UTC
9f4c50,d82c8d,7,1,7,2020-02-06 19:22:08.867948 UTC
9f4c50,d82c8d,8,1,9,2020-02-06 19:22:42.201100 UTC
9f4c50,d82c8d,9,1,11,2020-02-06 19:23:08.383512 UTC
9f4c50,d82c8d,11,1,12,2020-02-06 19:23:09.051350 UTC
9f4c50,d82c8d,12,1,14,2020-02-06 19:23:47.703550 UTC
a4308c,a684ec,1,1,1,2020-01-30 07:08:42.017055 UTC
a4308c,a684ec,2,1,2,2020-01-30 07:09:09.558815 UTC
a4308c,a684ec,7,1,3,2020-01-30 07:09:59.514943 UTC
a4308c,a684ec,10,1,5,2020-01-30 07:11:03.041266 UTC
a4308c,a684ec,12,1,7,2020-01-30 07:12:10.632858 UTC
168168,b53b3a,1,1,1,2020-01-26 11:30:09.351099 UTC
168168,b53b3a,2,1,2,2020-01-26 11:30:58.247761 UTC
168168,b53b3a,3,1,3,2020-01-26 11:31:05.549375 UTC
168168,b53b3a,5,1,5,2020-01-26 11:31:43.404295 UTC
168168,b53b3a,6,1,7,2020-01-26 11:32:38.231714 UTC
168168,b53b3a,7,1,9,2020-01-26 11:34:01.460752 UTC
168168,b53b3a,8,1,11,2020-01-26 11:34:43.283952 UTC
168168,b53b3a,9,1,13,2020-01-26 11:35:21.351160 UTC
168168,b53b3a,12,1,15,2020-01-26 11:36:31.259445 UTC
f09994,9f6140,1,1,1,2020-02-24 04:08:22.478461 UTC
f09994,9f6140,2,1,2,2020-02-24 04:08:33.879538 UTC
f09994,9f6140,3,1,3,2020-02-24 04:09:19.891940 UTC
f09994,9f6140,4,1,4,2020-02-24 04:09:32.259109 UTC
f09994,9f6140,6,1,5,2020-02-24 04:09:35.450116 UTC
f09994,9f6140,7,1,7,2020-02-24 04:10:02.318857 UTC
f09994,9f6140,11,1,8,2020-02-24 04:10:58.458078 UTC
